buyer_id,name,state_license,address,city,state,zip,industry,type,buyer_group,buyer_type,disabled
137532,CNA Stores (Billing Only),MP281691,57 S Hunt Road,Amesbury,39,01913,,,CNA Stores,Retail,False
145187,C3 - Dorchester,MR284013,,Boston,39,02122,Recreational,Dispensary,C3 - High Profile,Retail,False
238412,C3 - Roslindale,MR284097,,Roslindale,39,02131,Recreational,Dispensary,C3 - High Profile,Retail,False
154573,Green Path,MR283743,345 Main Street,Southbridge,39,01550,,,Green Path (Cannabro),Retail,False
152292,Major Bloom - Worcester,MR283033,76 Millbury Street,Worcester,39,01610,Recreational,,Major Bloom,Retail,False
153911,Collective Retail - Littleton,MR283742,537 Great Rd,Littleton,39,01460,Recreational,,"Collective - Retail (Campfire) (Community Care Collective, inc)",Retail,False
156003,Theory Wellness MA - Chicopee,RMD1567-R,672 Fuller Road,Chicopee,39,01020,Recreational,Dispensary,Theory Wellness MA,Retail,False
156892,Fine Fettle - Rowley,MR281571,116 Newburyport Tpke,Rowley,39,01969,Recreational,,"Fine Fettle (FFD Enterprices MA, Inc - Ipswich Pharmaceutical Assoc.)",Retail,False
157181,Wemelco Industries - Production,MP281787,19 Wemelco Way,Easthampton,39,01027,Recreational,Dispensary,"Wemelco Industries, Inc.",Retail,False
157365,RollingJs,MR282225,604 Main street,Holyoke,39,01040,,,RollingJs,Retail,False
157366,Renew Cannabis Co. - Cultivation,MC282081,44 County Street,Berkley,39,02779,,,Renew Cannabis Co.,Retail,False
157414,Agricultural Healing Inc. dba The Agriculturalist,MR283027,1 Lewiston Street,Fall River,39,02721,,,Agricultural Healing Inc. dba The Agriculturalist,Retail,False
229049,Turning Leaf Cannabis,MR283040,261 King St,Northampton,39,01060,Recreational,Dispensary,Turning Leaf,Multi,False
243700,Wemelco Industries - Honey Dispensary,MR282926,41 Strong ave,Northampton,39,01060,Recreational,Dispensary,"Wemelco Industries, Inc.",Retail,False
157867,JDM Sales inc.,MR283519,103 Uxbridge Rd,Mendon,39,,Recreational,Dispensary,JDM Sales inc.,Retail,False
243701,Wemelco Industries -  Dreamer Dispensary,MR282925,15 College way,Southampton,39,01073,Recreational,Dispensary,"Wemelco Industries, Inc.",Retail,False
243719,Renew Cannabis Co - Berkley,MR281458,44 County St,Berkley,39,02779,Recreational,Dispensary,Renew Cannabis Co.,Retail,False
244679,The Vault- Worcester,MR282527,17 Mountain St. E.,Worcester,39,01610,,,The Vault,Retail,False
166910,"Greenrock Cannabis  Rockland Old Exit 14, Inc.",MR284580,1015 Hingham St.,Rockland,39,02370,,,"Greenrock Cannabis  Rockland Old Exit 14, Inc.",Retail,False
166336,DMC,MP282067,3 River Rd,Whately,39,01373,Recreational,,DMC,Retail,False
229058,CANA Craft -  New Bedford,MR284765,2121 Phillips Rd,New Bedford,39,02745,Recreational,Dispensary,CANA Craft Cannabis Dispensary,Multi,False
229029,Leaflux,MR284051,40 Lyman St,Holyoke,39,01040,Recreational,Dispensary,Green Heart,Multi,False
229030,Chelsea Bud,MR284346,267 Broadway,Chelsea,39,02150,Recreational,Dispensary,Green Heart,Multi,False
244968,Resinate - Douglas,RMD-1345,120 Gilboa st,Douglas,39,01516,Recreational,Distributor,Resinate,Multi,False
229031,HadLeaf Cannabis,MR284228,251 Russel St.,Hadley,39,01035,Recreational,Dispensary,Green Heart,Multi,False
244967,Resinate - Northampton,MR282398,110 Pleasant St,Northampton,39,01060,Recreational,,Resinate,Multi,False
167716,Redi - Newton,MR282803,24 Elliot St.,Newton,39,02461,Recreational,,Redi,Retail,False
243720,Renew Cannabis co - Whitman,MR284877,305 Bedford St,Whitman,39,,Recreational,Dispensary,Renew Cannabis Co.,Retail,False
245242,Pettals Cannabis - Charlton,MR282757,144 Sturbridge Road,Charlton,39,01507,Recreational,Dispensary,Pettals Cannabis,Retail,False
167954,Pettals Cannabis - Attleboro,MR283141,40 Forest Street,Attleboro,39,02886,Recreational,,Pettals Cannabis,Retail,False
168356,Joint Operations - Rowley,MR283689,264 Newburyport Turnpike,Rowley,39,01969,Recreational,,Joint Operations dba Jo (Mendon/Rowley/Gardner/Worcester),Retail,False
243102,Theory Wellness MA - Great Barrington,MR281549,394 Stockbridge Road,Great Barrington,39,01230,Recreational,Dispensary,Theory Wellness MA,Retail,False
243103,Theory Wellness MA - Medford/Hi5,MR284150,162 Mystic Avenue,Medford,39,02155,Recreational,Dispensary,Theory Wellness MA,Retail,False
243104,Theory Wellness MA - Bridgewater,RMD305,1050 Elm Street,Bridgewater,39,02324,Medical,Dispensary,Theory Wellness MA,Retail,False
229052,Health Circle - Marshfield,MR282585,120 Enterprise Drive,Marshfield,39,02050,Recreational,Dispensary,Health Circle Cannabis Co.,Multi,False
171257,Vedi Naturals LLC,MR283056,"505 Boston Post Road, West",Marlborough,39,01752,,,Vedi Naturals LLC,Retail,False
171871,Dris Corporation,MD1321,16 Tech Circle,Natick,39,01760,,,Dris,Retail,False
171878,Bostica,MC282139,71 Linden Street,Lynn,39,01905,,,Bostica LLC,Retail,False
172604,Cannapi,MR282256,255 N. Pearl St.,Brockton,39,02301,,,Cannapi,Retail,False
175311,Starbird Cannabis Co - Witch City Garden LLC,MR281663,2 Bridge Street,Salem,39,01970,,,Witch City Gardens LLC - Starbird Salem,Retail,False
229039,Temescal Wellness - Worcester Production,MP281402,141 SW Cutoff,Worcester,39,01604,Recreational,,Temescal Wellness,Multi,False
242164,Collective Retail - Billerica,MR282974,4 Republic Road,Billerica,39,01862,Recreational,Dispensary,"Collective - Retail (Campfire) (Community Care Collective, inc)",Retail,False
242166,Collective - W.Boylston - Campfire,MR282519,65 West Boylston St,West Boylston,39,01583,Recreational,Dispensary,"Collective - Retail (Campfire) (Community Care Collective, inc)",Retail,False
242165,Lowell Cannabis Company,MR283351,1201 Westford St,Lowell,39,01851,Recreational,Dispensary,"Collective - Retail (Campfire) (Community Care Collective, inc)",Retail,False
176370,Cosmopolitan Dispensary Inc.,MR282961,82 Hartwell Street,Fall River,39,02720,Recreational,Dispensary,Green Heart,Retail,False
176488,"Leaf Relief, Inc.",MR283784,165 Westgate Drive,Brockton,39,02301,Recreational,Dispensary,Green Heart,Retail,False
176606,Cowboy Kush - MC,MC281723,27 Broom Street,Plainfield,39,01070,Recreational,,Cowboy Kush,Retail,False
176628,The Spot Dispensary,MR283237,1 CABOT ST,HOLYOKE,39,01040,,,The Spot Dispensary,Retail,False
177580,617THC Dorchester,MR283963,142-148 Bowdoin St,Dorchester,39,02122,,,617 THC,Retail,False
177406,Local Cannabis Company,MR283842,16 New Ocean St,Swampscott,39,01907,,,Local Cannabis Company* (Calyx Peak),Retail,False
245316,Joint Operations - Mendon,MR282984,47 Milford Street,Mendon,39,01756,Recreational,Dispensary,Joint Operations dba Jo (Mendon/Rowley/Gardner/Worcester),Retail,False
245317,Joint Operations - Gardner,MR284026,320 West Broadway,Gardner,39,01440,Recreational,Dispensary,Joint Operations dba Jo (Mendon/Rowley/Gardner/Worcester),Retail,False
229064,"Silver Therapeutics, Inc. - Orange",MR281910,5 South Main Street,Orange,39,01364,Recreational,Dispensary,"Silver Therapeutics, Inc.",Multi,False
229065,"Silver Therapeutics, Inc. - Boston",MR283074,717-721 American Legion Highway,Boston,39,02121,Recreational,Dispensary,"Silver Therapeutics, Inc.",Multi,False
229024,NEA - Fall River (Med),RMD745-R,,999 William S Canning Blvd,39,02721,Medical,Dispensary,Northeast Alternatives,Multi,False
180982,Blossom Flower LLC,MD1271,1 Cabot Street,Holyoke,39,01040,,,Blossom Flower LLC,Retail,False
181838,Green Meadows - Southbridge,MR282316,64 Mill St,Southbridge,39,01550,Recreational,,Green Meadows -Retail,Retail,False
181865,Elysian,MR285090,505 Quincy Ave,Quincy,39,02169,,,Elysian,Retail,False
249657,Green Meadows - Southbridge Manufacturing,MP281763,64 Mill Street,Southbridge,39,01550,Recreational,Processor,Green Meadows,Retail,False
243702,Wemelco Industries - OZ Club,MR284574,17 East St.,Easthampton,39,01027,Recreational,Dispensary,"Wemelco Industries, Inc.",Retail,False
183540,Kapha Cannabis Dispensary,MR283357,439 Pittsfield Road,Lenox,39,01240,,,Kapha Cannabis Dispensary,Retail,False
185412,Canna Vana,MR282801,256 Weymouth Street,Rockland,39,02370,Recreational,Dispensary,Canna Vana,Retail,False
229006,Caroline's Cannabis - Uxbridge,MR281274,640 Douglas Street,Uxbridge,39,01569,,,Caroline's Cannabis,Multi,False
229036,Holistic Industries - Manufacturing (Med),RMD685-P,96 Palmer Rd,Monson,39,01057,Medical,Processor,Holistic Industries,Multi,False
